Наименование диода|Uобр max, ВUобр, и max, В|Iпр max, мАIпр, ср max, мАIпр, и max, мА|fд max, кГц|Uпр, В, не более (при Iпр, мА)|Iобр, мкА, не более(при Uобр, В)|tвос, обр, мкс|Cд, пФ(при Uобр, В)
Д2Б|10|16|100|1 (5)|100(10)|3|0,2 (1,5)
Д2В|30|25|100|1 (9)|250 (30)|3|0,2 (1,5)
Д2Г|50|16|100|1 (2)|250 (50)|3|0,2 (1,5)
Д2Д|50|16|100|1 (4,5)|250 (50)|3|0,2 (1,5)
Д2Е|100|16|100|1 (4,5)|250(100)|3|0,2 (1,5)
Д2Ж|150|8|100|1 (2)|250(150)|3|0,2 (1,5)
Д2И|100|16|100|1 (2)|250(100)|3|0,2 (1,5)
Д7А|50|300|2,4|0,5 (300)|100 (50)|-|-
Д7Б|100|300|2,4|0,5 (300)|100(100)|-|-
Д7В|150|300|2,4|0,5 (300)|100(150)|-|-
Д7Г|200|300|2,4|0,5 (300)|100 (200)|-|-
Д7Д|300|300|2,4|0,5 (300)|100(300)|-|-
Д7Е|350|300|2,4|0,5 (300)|100 (350)|-|-
Д7Ж|400|300|2,4|0,5 (300)|100 (400)|-|-
Д9Б|10|40|100|1 (90)|250(10)|-|-
Д9В|30|20|100|1 (10)|250 (30)|-|-
Д9Г|30|30|100|1 (30)|250 (30)|-|-
Д9Д|30|30|100|1 (60)|250 (30)|-|-
Д9Е|30|20|100|1 (30)|250 (30)|-|-
Д9Ж|50|15|100|1 (10)|250 (50)|-|-
Д9И|100|30|100|1 (30)|120(100)|-|-
Д9К|30|30|100|1 (60)|60 (30)|-|-
Д9Л|30|15|100|1 (30)|250 (30)|-|-
Д9М|100|30|100|1 (60)|250(100)|-|-
Д10|10|16|100|1,5(3)|100(10)|-|-
Д10А|10|16|100|1,5(5)|200(10)|-|-
Д10Б|10|16|100|1,5(8)|200 (10)|-|-
Д101|75|30|-|2(2)|10 (75)|-|-
Д101А|75|30|-|1 (О|10 (75)|-|-
Д102|50|30|-|2(2)|10 (50)|-|-
Д102А|50|30|-|1 (1)|10 (50)|-|-
КД102А|250|50|1|1 (100)|0,1 (250)|-|-
КД102Б|300|50|20|1 (100)|1 (300)|-|-
Д103|30|30|-|2(2)|30 (30)|-|-
Д103А|30|30|-|1 (1)|30 (30)|-|-
КД103А|50|50|20|1 (100)|0,5 (50)|1|20(5)
КД103Б|50|50|20|1,2 (100)|0,5 (50)|4|20(5)
Д104|100|30|150|2(2)|5 (100)|0,5|0,7(1)
Д104А|100|30|150|1 (1)|5 (100)|0,5|0,7 (0,3)
КД104|300|50|20|1 (10)|3 (300)|3||
Д105|100|30|150|2(2)|5(75)|0,5|0,7(1)
Д105А|100|30|150|1 (1)|5(75)|0,5|0,7 (0,3)
КД105Б|400*|300|1|1 (300)|100 (400)|-|-
КД105В|800*|300|1|1 (300)|100 (600)|-|-
КД105Г|800*|300|1|1 (300)|100 (800)|-|-
Д106|100|30|150|2(2)|5(30)|0,5|0,7(1)
Д106А|100|30|150|1 (1)|5 (30)|0,5|0,7 (0,3)
КД106А|100*|300; 3* А|1|1 (300)|10(100)|0,385|74...153 (5)
ГД107А|15|20|-|1 (10)|20(10)|-|-
ГД107Б|25|20|-|0,4(1,5)|100(20)|-|-
КД109А|100*|300|-|1 (300)|100(100)|-|-
КД109Б|300*|300|-|1 (300)|100 (300)|-|-
КД109В|600*|300|-|1 (300)|100 (600)|-|-
АД110А|30|10|1000|1,5 (10)|5(20)|10|3
АД112А|50|300|-|3 (300)|100 (50)|-|-
ГД113А|115*|15|-|1 (30)|250 (80)|-|-
КД116А-1|100|25|-|<=0,95(25 мА)|1 (100 В)|в1,5|-
КД116Б-1|50|100|-|<=1 (25 мА)|0,4 (50 В)|<=4|-
Д202|100|400|20|1 (400)|500(100)|||
КД202А|50*|5 А|1,2|0,9 (5 А)|800 (50)|-|-
КД202В|100*|5 А|1,2|0,9 (5 А)|800(100)|-|-
КД202Д|200*|5 А|1,2|0,9 (5 А)|800 (200)|-|-
КД202Ж|300*|5 А|1,2|0,9 (5 А)|800 (300)|-|-
КД202К|400*|5 А|1,2|0,9 (5 А)|800 (400)|-|-
КД202М|500*|5 А|1,2|0,9 (5 А)|800 (500)|-|-
КД202Р|600*|5 А|1,2|0,9 (5 А)|800 (600)|-|-
Д203|200|400|20|1 (400)|500 (200)|-|-
КД203А|420|10 А||1 (10 А)|1500(600)|-|-
КД203Б|560|10 А||1 (10 А)|1500(800)|-|-
КД203В|560|10 А||1 (10 А)|1500 (800)|-|-
КД203Г|1000|10 А||1 (10 А)|1500(1000)|-|-
КД203Д|720|10 А|1|1 (10 А)|1500(1000)|-|-
КД203Е|800|10 А|1 (5 А)|1,5 мА (800 В)|-|-|-
КД203Ж|800|10 А|1 (10 А)|1,5 мА (800 В)|-|-|-
КД203И|1000|10 А|1 (5 А)|1,5 мА (1000 В)|-|-|-
КД203К|1000|10 А|1 (10 А)|1,5 мА (1000 В)|-|-|-
КД203Л|400|10 А|1 (10 А)|1,5 мА (400 В)|-|-|-
КД203М|600|10 А|1 (10 А)|1,5 мА (600 В)|-|-|-
Д204|300|400|20|1 (400)|500 (300)|-|-
КД204А|400*|400|1|1,4 (600)|150(400)|1,5|-
КД204Б|200*|600|1|1,4 (600)|100 (200)|1,5|-
КД204В|50*|1 А|1|1,4 (600)|50 (50)|1,5|-
Д205|400|400|20|1 (400)|500 (400)|-|-
КД205А|500|500|5|1 (500)|100 (500)|-|-
КД205Б|400|500|5|1 (500)|100 (400)|-|-
КД205В|300|500|5|1 (500)|100 (300)|-|-
КД205Г|200|500|5|1 (500)|100 (200)|-|-
КД205Д|100|500|5|1 (500)|100(100)|-|-
КД205Е|500|300|5|1 (300)|100 (500)|-|-
КД205Ж|600|500|5|1 (500)|100 (600)|-|-
КД205И|700|300|5|1 (300)|100 (700)|-|-
КД205К|100|700|5|1 (700)|100(100)|-|-
КД205Л|200|700|5|1 (700)|100 (200)|-|-
Д206|100|400|1|1 (100)|50(100)|-|-
КД206А|400|10 А|1|1,2 (1000)|700 (400)|10|-
КД206Б|500|10 А|1|1,2 (1000)|700 (500)|10|-
КД206В|600|10 А|1|1,2 (1000)|700 (600)|10|-
Д207|200|400|1|1 (100)|50 (200)|-|-
Д208|300|400|1|1 (100)|50 (300)|-|-
КД208А|100|1,5 А|1|1 (1000)|100(100)|-|-
КД208А-1|100|1,5 А|1 (1 А)|100 (100 В)|-|-|1
Д209|400|400|1|1 (100)|50 (400)|-|-
КД209А|400|700|1|1 (700)|100 (400)|-|-
КД209Б|600|500|1|1 (500)|100 (600)|-|-
КД209В|800|500|1|1 (500)|100 (800)|||
КД209А-1|400|700|1 (0,7 А)|30 (400 В)|-|-|1
КД209Б-1|600|700|1 (0,7 А)|30 (600 В)|-|-|1
КД209В-1|800|500|1 (0,5 А)|30 (800 В)|-|-|1
КД209Г-1|1000|200|1 (0,2 А)|50 (1000 В)|-|-|1
Д210|500|400|1|1 (100)|50 (500)|-|-
КД210А|800|5 А|1|1 (10 А)|4,5 мА (800)|-|-
КД210Б|800|10 А|1|2 (10 А)|4,5 мА (800)|-|-
КД210В|1000|5 А|1|2 (10 А)|4,5 мА (1000)|-|-
КД210Г|1000|10 А|1|2 (10 А)|4,5 мА (1000)|-|-
Д211|600|400|1|1 (100)|50 (600)|-|-
КД212А|200|1 А|100|1 (1 А)|50 (200)|0,3|45(100)
КД212Б|200|1 А|100|1,2 (1 А)|100 (200)|0,3|45(100)
КД212В|100|1 А|100|1 (1 А)|100(100)|0,5|45 (100)
КД212Г|100|1 А|100|1,2 (1 А)|100(100)|0,5|45(100)
КД213А|200|10 А|100|1 (10 А)|200 (200)|0,3|550(100)
КД213Б|200|10 А|100|1,2 (10 А)|200 (200)|0,17|550(100)
КД213В|200|10 А|100|1,2 (10 А)|200 (200)|0,5|550(100)
КД213Г|100|10 А|100|1,2 (10 А)|200(100)|0,3|550(100)
Д214|100|10 А|1,1|1,2 (10 А)|3 мА(100)|-|-
Д214А|100|10 А|1.1|1 (10 А)|3 мА(100)|-|-
Д214Б|100|5 А|1,1|1,5(5 А)|3 мА (100)|-|-
Д215|200|10 А|1,1|1,2 (10 А)|3000 (200)|-|-
Д215А|200|10 А|1,1|1 (10 А)|3000 (200)|-|-
Д215Б|200|5 А|1,1|1,5(5 А)|3000 (200)|-|-
МД217|800|100|1|1 (100)|50 (800)|-|-
МД218|1000|100|1|1 (100)|50(1000)|-|-
МД218А|1200|100|1|1,1 (100)|50(1200)|-|-
КД221А|100|0,7 А|1|1,4(0,7 А)|50(100)|1,5|-
КД221Б|200|0,5 А|1|1,4(0,5 А)|50 (200)|1,5|-
КД221В|400|0,3 А|1|1,4(0,3 А)|100 (400)|1,5|-
